,brisque,niqe,piqe,MetaIQA,RankIQA
I70.png,19.47470481192576,4.620619178364385,14.722855486910335,0.620355486869812,2.5007641315460205
I71.png,-3.5014599943882843,7.846565645356048,9.809221945946419,0.5058362483978271,2.910909652709961
I72.png,3.781431518629091,5.594137012499445,3.722367928960699,0.6374240517616272,1.201783537864685
I73.png,-2.083648084751559,5.448347136412607,7.747616602249555,0.5762003660202026,2.489335298538208
I74.png,16.462136767525493,5.542764725868679,2.8393585187899864,0.4979875385761261,0.9507266283035278
I75.png,11.404851836865845,5.866661650277861,6.143158520231863,0.5656484961509705,1.846577525138855
I76.png,21.53460850267888,7.467895837772322,10.183524894916047,0.5392131209373474,-0.8101281523704529
I77.png,7.432187221344037,4.110055893116784,13.857843636500691,0.4408479332923889,1.0758479833602905
group1 Average,9.313101572478658,5.812130884958517,8.6282434418132,0.5479391813278198,1.5207270383834839
I70_01_05.png,85.43708669781992,14.099118732845872,100.0,0.17966482043266296,9.14115047454834
I71_01_05.png,72.7296416426743,13.385144124018442,100.0,0.20069865882396698,9.144087791442871
I72_01_05.png,69.76952292006192,12.74435884192306,100.0,0.16822846233844757,8.939370155334473
I73_01_05.png,73.3714432794529,12.356131096951025,100.0,0.2026774287223816,8.972681045532227
I74_01_05.png,78.42565378485003,12.758382781168057,100.0,0.18209290504455566,9.165108680725098
I75_01_05.png,73.08265569811587,13.080335556518452,100.0,0.21032074093818665,9.285130500793457
I76_01_05.png,74.37481570559598,13.696583062940643,100.0,0.15481726825237274,9.397804260253906
I77_01_05.png,83.76277683334123,14.2417838941467,100.0,0.1788545697927475,10.055463790893555
group2 Average,76.36919957023903,13.29522976131403,100.0,0.1846693456172943,9.26259994506836
I70_08_05.png,17.364884428983913,4.99337906296601,23.780999888263388,0.24998950958251953,2.6153602600097656
I71_08_05.png,20.91875542498869,9.56550972715108,9.81545128337278,0.20908576250076294,3.9297337532043457
I72_08_05.png,5.492134130314611,4.605507932543648,3.3587670456931824,0.22726856172084808,3.149176836013794
I73_08_05.png,-1.704295496448509,5.442640536215842,6.937744726727868,0.27753880620002747,4.6900410652160645
I74_08_05.png,17.49576352554149,6.082758296118471,2.6179433441997113,0.2738493084907532,2.759538412094116
group3 Average,11.913448402676039,6.13795911099901,9.302181257651386,0.24754638969898224,3.428770065307617
